o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0002859;fifth lumbar dorsal root ganglion;L5 ganglion
http://purl.obolibrary.org/obo/UBERON_0002859;fifth lumbar dorsal root ganglion;L5 dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0002859;fifth lumbar dorsal root ganglion;fifth lumbar spinal ganglion
http://purl.obolibrary.org/obo/UBERON_0002859;fifth lumbar dorsal root ganglion;fifth lumbar dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0002860;first sacral dorsal root ganglion;first sacral spinal ganglion
http://purl.obolibrary.org/obo/UBERON_0002860;first sacral dorsal root ganglion;first sacral dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;vagus nucleus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;posterior nucleus of vagus nerve
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;nucleus vagalis dorsalis
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;nucleus posterior nervi vagi
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;nucleus dorsalis nervi vagi
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;nucleus dorsalis motorius nervi vagi
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;nucleus alaris (Oertel)
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;nucleus alaris
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal vagal nucleus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal nucleus of vagus nerve
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal nucleus of the vagus nerve
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor vagal nucleus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus of vagus X nerve
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus of vagus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus of the vagus nerve
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus of the vagus (vagal nucleus)
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus of the vagus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal efferent nucleus of vagus
http://purl.obolibrary.org/obo/UBERON_0002870;dorsal motor nucleus of vagus nerve;dorsal motor nucleus of vagus nerve
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;twelfth cranial nerve nucleus
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;nucleus of hypoglossal nerve
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;nucleus nervi hypoglossi
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;hypoglossal XII nucleus
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;hypoglossal nerve nucleus
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;hypoglossal nucleus
http://purl.obolibrary.org/obo/UBERON_0002871;hypoglossal nucleus;nucleus hypoglossalis
http://purl.obolibrary.org/obo/UBERON_0002872;inferior salivatory nucleus;nucleus salivatorius inferior nervi glossopharyngei
http://purl.obolibrary.org/obo/UBERON_0002872;inferior salivatory nucleus;nucleus salivatorius inferior
http://purl.obolibrary.org/obo/UBERON_0002872;inferior salivatory nucleus;nucleus salivatorius caudalis
http://purl.obolibrary.org/obo/UBERON_0002872;inferior salivatory nucleus;nucleus salivarius inferior
http://purl.obolibrary.org/obo/UBERON_0002872;inferior salivatory nucleus;inferior salivatary nucleus
http://purl.obolibrary.org/obo/UBERON_0002872;inferior salivatory nucleus;inferior salivary nucleus
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;nucleus centralis amygdalae
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;nucleus amygdaloideus centralis
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;nucleus amygdalae centralis
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central nucleus of the amygdala
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central nucleus of amygdala
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central nucleus of amygda
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central nucleus amygdala
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central nuclear group
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central amygdalar nucleus
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;central amygdala
http://purl.obolibrary.org/obo/UBERON_0002883;central amygdaloid nucleus;amygdala central nucleus
http://purl.obolibrary.org/obo/UBERON_0002894;olfactory cortex;olfactory areas
http://purl.obolibrary.org/obo/UBERON_0002894;olfactory cortex;archeocortex
http://purl.obolibrary.org/obo/UBERON_0002894;olfactory cortex;archaeocortex
http://purl.obolibrary.org/obo/UBERON_0002894;olfactory cortex;olfactory lobe
http://purl.obolibrary.org/obo/UBERON_0002932;trapezoid body;TZ
http://purl.obolibrary.org/obo/UBERON_0002932;trapezoid body;trapezoid body (Treviranus)
http://purl.obolibrary.org/obo/UBERON_0002932;trapezoid body;corpus trapezoideum
http://purl.obolibrary.org/obo/UBERON_0002932;trapezoid body;corpus trapezoides
