o,o_lable,o_synonym
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,canalis cervicis uteri
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,caudal segment of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervical canal
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervical canal of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervix
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervix of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,cervix uteri
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,neck of uterus
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,uterine cervix
http://purl.obolibrary.org/obo/UBERON_0000003,naris,
http://purl.obolibrary.org/obo/UBERON_0000004,nose,nasal sac
http://purl.obolibrary.org/obo/UBERON_0000004,nose,nasus
http://purl.obolibrary.org/obo/UBERON_0000004,nose,nose
http://purl.obolibrary.org/obo/UBERON_0000004,nose,olfactory apparatus
http://purl.obolibrary.org/obo/UBERON_0000004,nose,peripheral olfactory organ
http://purl.obolibrary.org/obo/UBERON_0000004,nose,proboscis
http://purl.obolibrary.org/obo/UBERON_0000005,chemosensory organ,chemosensory sensory organ
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,island of Langerhans
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,island of pancreas
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,islets of Langerhans
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,pancreatic insula
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,pancreatic islet
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,Hp
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,glandula pituitaria
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,hypophysis
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,hypophysis cerebri
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,pituitary
http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland,pituitary body
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,organ submucosa
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,region of submucosa
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,submucosa of organ
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,submucosa of region of organ
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,submucous layer
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,tela submucosa
http://purl.obolibrary.org/obo/UBERON_0000009,submucosa,tunica submucosa
http://purl.obolibrary.org/obo/UBERON_0000010,peripheral nervous system,PNS
http://purl.obolibrary.org/obo/UBERON_0000010,peripheral nervous system,pars peripherica
http://purl.obolibrary.org/obo/UBERON_0000010,peripheral nervous system,systema nervosum periphericum
http://purl.obolibrary.org/obo/UBERON_0000011,parasympathetic nervous system,PNS - parasympathetic
http://purl.obolibrary.org/obo/UBERON_0000011,parasympathetic nervous system,parasympathetic part of autonomic division of nervous system
http://purl.obolibrary.org/obo/UBERON_0000011,parasympathetic nervous system,pars parasympathica divisionis autonomici systematis nervosi
http://purl.obolibrary.org/obo/UBERON_0000012,somatic nervous system,PNS - somatic
http://purl.obolibrary.org/obo/UBERON_0000012,somatic nervous system,"somatic nervous system, somatic division"
http://purl.obolibrary.org/obo/UBERON_0000012,somatic nervous system,somatic part of peripheral nervous system
http://purl.obolibrary.org/obo/UBERON_0000012,somatic nervous system,somatic peripheral nervous system
http://purl.obolibrary.org/obo/UBERON_0000013,sympathetic nervous system,pars sympathica divisionis autonomici systematis nervosi
http://purl.obolibrary.org/obo/UBERON_0000013,sympathetic nervous system,sympathetic nervous system
http://purl.obolibrary.org/obo/UBERON_0000013,sympathetic nervous system,sympathetic part of autonomic division of nervous system
http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin,portion of skin
http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin,region of skin
http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin,skin
http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin,skin region
http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin,skin zone
http://purl.obolibrary.org/obo/UBERON_0000015,non-material anatomical boundary,anatomical boundary
http://purl.obolibrary.org/obo/UBERON_0000016,endocrine pancreas,endocrine pancreas
http://purl.obolibrary.org/obo/UBERON_0000016,endocrine pancreas,endocrine part of pancreas
http://purl.obolibrary.org/obo/UBERON_0000016,endocrine pancreas,islets of Langerhans part of pancreas
http://purl.obolibrary.org/obo/UBERON_0000016,endocrine pancreas,pars endocrina pancreatis
http://purl.obolibrary.org/obo/UBERON_0000017,exocrine pancreas,exocrine component of pancreas
http://purl.obolibrary.org/obo/UBERON_0000017,exocrine pancreas,exocrine pancreas
http://purl.obolibrary.org/obo/UBERON_0000017,exocrine pancreas,exocrine part of pancreas
http://purl.obolibrary.org/obo/UBERON_0000017,exocrine pancreas,pars exocrina pancreatis
http://purl.obolibrary.org/obo/UBERON_0000018,compound eye,
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,camera-type eye plus associated structures
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,eye
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,eyes
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,orbital part of face
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,orbital region
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,regio orbitalis
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,vertebrate eye
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,Sinnesorgan
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,organ of sense organ system
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,organ of sensory organ system
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,organ of sensory system
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,sense organ system organ
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,sensillum
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,sensor
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,sensory organ
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,sensory organ system organ
http://purl.obolibrary.org/obo/UBERON_0000020,sense organ,sensory system organ
http://purl.obolibrary.org/obo/UBERON_0000021,cutaneous appendage,skin appendage
http://purl.obolibrary.org/obo/UBERON_0000022,feather,
http://purl.obolibrary.org/obo/UBERON_0000023,wing,aliform appendage
http://purl.obolibrary.org/obo/UBERON_0000024,forelimb wing,
http://purl.obolibrary.org/obo/UBERON_0000025,tube,anatomical tube
http://purl.obolibrary.org/obo/UBERON_0000025,tube,duct
http://purl.obolibrary.org/obo/UBERON_0000026,appendage,appendages
http://purl.obolibrary.org/obo/UBERON_0000026,appendage,extremitaet
http://purl.obolibrary.org/obo/UBERON_0000026,appendage,extremity
http://purl.obolibrary.org/obo/UBERON_0000026,appendage,limbs/digits/tail
http://purl.obolibrary.org/obo/UBERON_0000029,lymph node,lymph gland
http://purl.obolibrary.org/obo/UBERON_0000029,lymph node,nodus lymphaticus
http://purl.obolibrary.org/obo/UBERON_0000030,lamina propria,lamina propria mucosa
http://purl.obolibrary.org/obo/UBERON_0000030,lamina propria,lamina propria mucosae
http://purl.obolibrary.org/obo/UBERON_0000030,lamina propria,tunica propria
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,lamina propria mucosa of trachea
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,lamina propria mucosa of windpipe
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,lamina propria mucosae of trachea
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,lamina propria mucosae of windpipe
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,lamina propria of windpipe
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,trachea lamina propria
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,trachea lamina propria mucosa
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,trachea lamina propria mucosae
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,tracheal lamina propria
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,windpipe lamina propria
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,windpipe lamina propria mucosa
http://purl.obolibrary.org/obo/UBERON_0000031,lamina propria of trachea,windpipe lamina propria mucosae
http://purl.obolibrary.org/obo/UBERON_0000033,head,adult head
http://purl.obolibrary.org/obo/UBERON_0000033,head,cephalic area
http://purl.obolibrary.org/obo/UBERON_0000033,head,head (volume)
http://purl.obolibrary.org/obo/UBERON_0000035,primary ovarian follicle,folliculus ovaricus primarius
http://purl.obolibrary.org/obo/UBERON_0000035,primary ovarian follicle,ovary primary follicle
http://purl.obolibrary.org/obo/UBERON_0000035,primary ovarian follicle,primary follicle of ovary
http://purl.obolibrary.org/obo/UBERON_0000035,primary ovarian follicle,primary ovarian follicle
http://purl.obolibrary.org/obo/UBERON_0000036,secondary ovarian follicle,folliculus ovaricus secondarius
http://purl.obolibrary.org/obo/UBERON_0000036,secondary ovarian follicle,ovary secondary follicle
http://purl.obolibrary.org/obo/UBERON_0000036,secondary ovarian follicle,pre-antral follicle
http://purl.obolibrary.org/obo/UBERON_0000036,secondary ovarian follicle,preantral follicle
http://purl.obolibrary.org/obo/UBERON_0000036,secondary ovarian follicle,secondary follicle of ovary
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,Graafian follicle
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,antral ovarian follicle
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,folliculi ovarici vesiculosi
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,folliculus ovaricus tertiarius
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,folliculus ovaricus tertiarius (vesiculosus)
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,folliculus ovaricus tertiarius (vesiculous)
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,ovary antral follicle
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,tertiary follicle of ovary
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,vesicular follicle of ovary
http://purl.obolibrary.org/obo/UBERON_0000037,tertiary ovarian follicle,vesicular ovarian follicle
http://purl.obolibrary.org/obo/UBERON_0000038,follicular fluid,liquor follicularis
http://purl.obolibrary.org/obo/UBERON_0000038,follicular fluid,liquor folliculi
http://purl.obolibrary.org/obo/UBERON_0000038,follicular fluid,ovary follicle fluid
http://purl.obolibrary.org/obo/UBERON_0000039,follicular antrum,antral cavity
http://purl.obolibrary.org/obo/UBERON_0000039,follicular antrum,antrum folliculare
http://purl.obolibrary.org/obo/UBERON_0000039,follicular antrum,ovarian follicle antrum
http://purl.obolibrary.org/obo/UBERON_0000040,Leydig's organ,
http://purl.obolibrary.org/obo/UBERON_0000041,odontode scale,dermal denticle
http://purl.obolibrary.org/obo/UBERON_0000041,odontode scale,odontode scale
http://purl.obolibrary.org/obo/UBERON_0000041,odontode scale,placoid scale
http://purl.obolibrary.org/obo/UBERON_0000042,serous membrane,serosa
http://purl.obolibrary.org/obo/UBERON_0000042,serous membrane,tunica serosa
http://purl.obolibrary.org/obo/UBERON_0000042,serous membrane,wall of serous sac
http://purl.obolibrary.org/obo/UBERON_0000043,tendon,
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,DRG
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,dorsal root ganglia
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,ganglion of dorsal root
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,ganglion sensorium nervi spinalis
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,ganglion spinale
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,ganglion spinalis
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,posterior root ganglion
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,spinal ganglion
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,spinal ganglion part of peripheral nervous system
http://purl.obolibrary.org/obo/UBERON_0000045,ganglion,ganglia
http://purl.obolibrary.org/obo/UBERON_0000045,ganglion,neural ganglion
http://purl.obolibrary.org/obo/UBERON_0000046,stemma,pit eye
http://purl.obolibrary.org/obo/UBERON_0000047,simple eye,
http://purl.obolibrary.org/obo/UBERON_0000048,pinhole eye,
http://purl.obolibrary.org/obo/UBERON_0000049,spherical lensed eye,
http://purl.obolibrary.org/obo/UBERON_0000050,simple eye with multiple lenses,
http://purl.obolibrary.org/obo/UBERON_0000051,fornix of vagina,fornix vaginae
http://purl.obolibrary.org/obo/UBERON_0000051,fornix of vagina,vaginal fornix
http://purl.obolibrary.org/obo/UBERON_0000052,fornix of brain,brain fornix
http://purl.obolibrary.org/obo/UBERON_0000052,fornix of brain,cerebral fornix
http://purl.obolibrary.org/obo/UBERON_0000052,fornix of brain,forebrain fornix
http://purl.obolibrary.org/obo/UBERON_0000052,fornix of brain,fornix of neuraxis
http://purl.obolibrary.org/obo/UBERON_0000052,fornix of brain,neuraxis fornix
http://purl.obolibrary.org/obo/UBERON_0000053,macula lutea,
http://purl.obolibrary.org/obo/UBERON_0000054,macula,macula
http://purl.obolibrary.org/obo/UBERON_0000054,macula,maculae
http://purl.obolibrary.org/obo/UBERON_0000054,macula,sensory macula
http://purl.obolibrary.org/obo/UBERON_0000054,macula,sensory patch
http://purl.obolibrary.org/obo/UBERON_0000055,vessel,
http://purl.obolibrary.org/obo/UBERON_0000056,ureter,metanephric duct
http://purl.obolibrary.org/obo/UBERON_0000057,urethra,
http://purl.obolibrary.org/obo/UBERON_0000058,duct,anatomical duct
http://purl.obolibrary.org/obo/UBERON_0000058,duct,ducts
http://purl.obolibrary.org/obo/UBERON_0000058,duct,exocrine duct
http://purl.obolibrary.org/obo/UBERON_0000058,duct,exocrine gland duct
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,intestinum crassum
http://purl.obolibrary.org/obo/UBERON_0000060,anatomical wall,organ wall
http://purl.obolibrary.org/obo/UBERON_0000060,anatomical wall,wall
http://purl.obolibrary.org/obo/UBERON_0000060,anatomical wall,wall of organ
http://purl.obolibrary.org/obo/UBERON_0000061,anatomical structure,biological structure
http://purl.obolibrary.org/obo/UBERON_0000061,anatomical structure,connected biological structure
http://purl.obolibrary.org/obo/UBERON_0000062,organ,anatomical unit
http://purl.obolibrary.org/obo/UBERON_0000062,organ,body organ
http://purl.obolibrary.org/obo/UBERON_0000062,organ,element
http://purl.obolibrary.org/obo/UBERON_0000063,organ subunit,organ region with fixed fiat boundary
http://purl.obolibrary.org/obo/UBERON_0000063,organ subunit,organ segment
http://purl.obolibrary.org/obo/UBERON_0000063,organ subunit,segment of organ
http://purl.obolibrary.org/obo/UBERON_0000064,organ part,cardinal organ part
http://purl.obolibrary.org/obo/UBERON_0000064,organ part,regional part of organ
http://purl.obolibrary.org/obo/UBERON_0000065,respiratory tract,
http://purl.obolibrary.org/obo/UBERON_0000072,proximo-distal subdivision of respiratory tract,respiratory tract
http://purl.obolibrary.org/obo/UBERON_0000072,proximo-distal subdivision of respiratory tract,subdivision of respiratory tract
http://purl.obolibrary.org/obo/UBERON_0000073,Regional part of nervous system,part of nervous system
http://purl.obolibrary.org/obo/UBERON_0000073,regional part of nervous system,part of nervous system
http://purl.obolibrary.org/obo/UBERON_0000074,renal glomerulus,renal glomeruli
http://purl.obolibrary.org/obo/UBERON_0000075,subdivision of skeletal system,skeletal system part
http://purl.obolibrary.org/obo/UBERON_0000075,subdivision of skeletal system,skeletal system subdivision
http://purl.obolibrary.org/obo/UBERON_0000076,external ectoderm,surface (external) ectoderm
http://purl.obolibrary.org/obo/UBERON_0000076,external ectoderm,surface ectoderm
http://purl.obolibrary.org/obo/UBERON_0000077,mixed endoderm/mesoderm-derived structure,
http://purl.obolibrary.org/obo/UBERON_0000078,mixed ectoderm/mesoderm/endoderm-derived structure,
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,genitalia of male organism
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male genital organ
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male genital system
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male genital tract
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male genitalia
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male genitals
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male organism genitalia
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male organism reproductive system
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,male reproductive tract
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,reproductive system of male organism
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,systema genitale masculinum
http://purl.obolibrary.org/obo/UBERON_0000080,mesonephros,Wolffian body
http://purl.obolibrary.org/obo/UBERON_0000080,mesonephros,mesonephric kidney
http://purl.obolibrary.org/obo/UBERON_0000080,mesonephros,mesonephroi
http://purl.obolibrary.org/obo/UBERON_0000081,metanephros,metanephron
http://purl.obolibrary.org/obo/UBERON_0000082,adult mammalian kidney,
http://purl.obolibrary.org/obo/UBERON_0000083,mesonephric tubule,
http://purl.obolibrary.org/obo/UBERON_0000084,ureteric bud,
http://purl.obolibrary.org/obo/UBERON_0000085,morula,
http://purl.obolibrary.org/obo/UBERON_0000086,zona pellucida,
http://purl.obolibrary.org/obo/UBERON_0000087,inner cell mass,
http://purl.obolibrary.org/obo/UBERON_0000088,trophoblast,trophoblast layer
http://purl.obolibrary.org/obo/UBERON_0000089,hypoblast (generic),hypoblast
http://purl.obolibrary.org/obo/UBERON_0000090,blastocele,blastocoele
http://purl.obolibrary.org/obo/UBERON_0000090,blastocele,blastocoelic cavity
http://purl.obolibrary.org/obo/UBERON_0000090,blastocele,blastocyst cavity
http://purl.obolibrary.org/obo/UBERON_0000090,blastocele,cleavage cavity
http://purl.obolibrary.org/obo/UBERON_0000090,blastocele,segmentation cavity
http://purl.obolibrary.org/obo/UBERON_0000091,bilaminar disc,bilaminary embryonic disc
http://purl.obolibrary.org/obo/UBERON_0000091,bilaminar disc,bilaminary germ disc
http://purl.obolibrary.org/obo/UBERON_0000093,sulcus,
http://purl.obolibrary.org/obo/UBERON_0000094,membrane organ,membrane of organ
http://purl.obolibrary.org/obo/UBERON_0000095,cardiac neural crest,
http://purl.obolibrary.org/obo/UBERON_0000100,blastopore,
http://purl.obolibrary.org/obo/UBERON_0000101,lobe of lung,lung lobe
http://purl.obolibrary.org/obo/UBERON_0000101,lobe of lung,pulminory lobe
http://purl.obolibrary.org/obo/UBERON_0000101,lobe of lung,pulmonary lobe
http://purl.obolibrary.org/obo/UBERON_0000102,lung vasculature,lung vascular network
http://purl.obolibrary.org/obo/UBERON_0000102,lung vasculature,pulmonary vasculature
http://purl.obolibrary.org/obo/UBERON_0000102,lung vasculature,vascular network of lung
http://purl.obolibrary.org/obo/UBERON_0000102,lung vasculature,vasculature of lung
http://purl.obolibrary.org/obo/UBERON_0000114,lung connective tissue,connective tissue of lung
http://purl.obolibrary.org/obo/UBERON_0000114,lung connective tissue,pulmonary interstitium
http://purl.obolibrary.org/obo/UBERON_0000115,lung epithelium,epithelial tissue of lung
http://purl.obolibrary.org/obo/UBERON_0000115,lung epithelium,epithelium of lung
http://purl.obolibrary.org/obo/UBERON_0000115,lung epithelium,lung epithelial tissue
http://purl.obolibrary.org/obo/UBERON_0000116,lung saccule,
http://purl.obolibrary.org/obo/UBERON_0000117,respiratory tube,airway
http://purl.obolibrary.org/obo/UBERON_0000117,respiratory tube,respiratory conducting tube
http://purl.obolibrary.org/obo/UBERON_0000117,respiratory tube,segment of tracheobronchial tree
http://purl.obolibrary.org/obo/UBERON_0000117,respiratory tube,tracheobronchial tree segment
http://purl.obolibrary.org/obo/UBERON_0000118,lung bud,
http://purl.obolibrary.org/obo/UBERON_0000119,cell layer,cell sheath
http://purl.obolibrary.org/obo/UBERON_0000119,cell layer,layer
http://purl.obolibrary.org/obo/UBERON_0000119,cell layer,layer of cells
http://purl.obolibrary.org/obo/UBERON_0000119,cell layer,sheath of cells
http://purl.obolibrary.org/obo/UBERON_0000120,blood brain barrier,blood-brain barrier
http://purl.obolibrary.org/obo/UBERON_0000121,perineurium,
http://purl.obolibrary.org/obo/UBERON_0000122,neuron projection bundle,funiculus
http://purl.obolibrary.org/obo/UBERON_0000122,neuron projection bundle,nerve fiber bundle
http://purl.obolibrary.org/obo/UBERON_0000122,neuron projection bundle,neural fiber bundle
http://purl.obolibrary.org/obo/UBERON_0000123,endoneurium,
http://purl.obolibrary.org/obo/UBERON_0000124,epineurium,
http://purl.obolibrary.org/obo/UBERON_0000125,neural nucleus,nervous system nucleus
http://purl.obolibrary.org/obo/UBERON_0000125,neural nucleus,neuraxis nucleus
http://purl.obolibrary.org/obo/UBERON_0000125,neural nucleus,neuronal nucleus
http://purl.obolibrary.org/obo/UBERON_0000125,neural nucleus,nucleus
http://purl.obolibrary.org/obo/UBERON_0000125,neural nucleus,nucleus of CNS
http://purl.obolibrary.org/obo/UBERON_0000125,neural nucleus,nucleus of neuraxis
http://purl.obolibrary.org/obo/UBERON_0000126,cranial nerve nucleus,cranial neural nucleus
http://purl.obolibrary.org/obo/UBERON_0000126,cranial nerve nucleus,nucleus nervi cranialis
http://purl.obolibrary.org/obo/UBERON_0000126,cranial nerve nucleus,nucleus of cranial nerve
http://purl.obolibrary.org/obo/UBERON_0000127,facial nucleus,facial VII motor nucleus
http://purl.obolibrary.org/obo/UBERON_0000127,facial nucleus,facial VII nucleus
http://purl.obolibrary.org/obo/UBERON_0000127,facial nucleus,facial nerve nucleus
http://purl.obolibrary.org/obo/UBERON_0000127,facial nucleus,nucleus of facial nerve
http://purl.obolibrary.org/obo/UBERON_0000128,olivary body,olive body
http://purl.obolibrary.org/obo/UBERON_0000130,transverse foramen,foramen transversarium
http://purl.obolibrary.org/obo/UBERON_0000130,transverse foramen,foramen transversarium of cervical vertebra
http://purl.obolibrary.org/obo/UBERON_0000130,transverse foramen,foramen transversarium vertebrae cervicales
http://purl.obolibrary.org/obo/UBERON_0000130,transverse foramen,transverse foramen of cervical vertebra
http://purl.obolibrary.org/obo/UBERON_0000144,trochlea of humerus,humeral trochlea
http://purl.obolibrary.org/obo/UBERON_0000144,trochlea of humerus,trochlea humeri
http://purl.obolibrary.org/obo/UBERON_0000151,pectoral fin,forefin
http://purl.obolibrary.org/obo/UBERON_0000152,pelvic fin,
http://purl.obolibrary.org/obo/UBERON_0000153,anterior region of body,
http://purl.obolibrary.org/obo/UBERON_0000154,posterior region of body,
http://purl.obolibrary.org/obo/UBERON_0000155,theca cell layer,layer of theca cells
http://purl.obolibrary.org/obo/UBERON_0000155,theca cell layer,ovary theca
http://purl.obolibrary.org/obo/UBERON_0000155,theca cell layer,theca cell layer of ovarian follicle
http://purl.obolibrary.org/obo/UBERON_0000155,theca cell layer,theca of follicle
http://purl.obolibrary.org/obo/UBERON_0000155,theca cell layer,thecal cell layer
http://purl.obolibrary.org/obo/UBERON_0000156,theca externa,ovary theca externa
http://purl.obolibrary.org/obo/UBERON_0000156,theca externa,theca externa (folliculus ovaricus tertiarius)
http://purl.obolibrary.org/obo/UBERON_0000156,theca externa,tunica externa of theca folliculi
http://purl.obolibrary.org/obo/UBERON_0000157,theca interna,ovary theca interna
http://purl.obolibrary.org/obo/UBERON_0000157,theca interna,theca interna (folliculus ovaricus tertiarius)
http://purl.obolibrary.org/obo/UBERON_0000157,theca interna,tunica interna of theca folliculi
http://purl.obolibrary.org/obo/UBERON_0000158,membranous layer,membrane
http://purl.obolibrary.org/obo/UBERON_0000158,membranous layer,membranous organ component
http://purl.obolibrary.org/obo/UBERON_0000159,anal canal,anal canal
http://purl.obolibrary.org/obo/UBERON_0000159,anal canal,anal canal viewed anatomically
http://purl.obolibrary.org/obo/UBERON_0000159,anal canal,anatomical anal canal
http://purl.obolibrary.org/obo/UBERON_0000160,intestine,bowel
http://purl.obolibrary.org/obo/UBERON_0000160,intestine,intestinal tract
http://purl.obolibrary.org/obo/UBERON_0000161,orifice,anatomical orifice
http://purl.obolibrary.org/obo/UBERON_0000162,cloaca,
http://purl.obolibrary.org/obo/UBERON_0000163,embryonic cloaca,
http://purl.obolibrary.org/obo/UBERON_0000164,primitive urogenital sinus,UGS
http://purl.obolibrary.org/obo/UBERON_0000164,primitive urogenital sinus,fetal UGS
http://purl.obolibrary.org/obo/UBERON_0000164,primitive urogenital sinus,sinus urogenitalis
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,adult mouth
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,cavital oralis
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,cavitas oris
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,cavum oris
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,mouth cavity
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,oral region
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,oral vestibule
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,regio oralis
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,rima oris
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,stoma
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,stomatodaeum
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,trophic apparatus
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,vestibule of mouth
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,vestibulum oris
http://purl.obolibrary.org/obo/UBERON_0000166,oral opening,oral fissure
http://purl.obolibrary.org/obo/UBERON_0000166,oral opening,oral orifice
http://purl.obolibrary.org/obo/UBERON_0000167,oral cavity,buccal cavity
http://purl.obolibrary.org/obo/UBERON_0000167,oral cavity,cavity of mouth
http://purl.obolibrary.org/obo/UBERON_0000168,proximal-distal subdivision of colon,segment of colon
http://purl.obolibrary.org/obo/UBERON_0000170,pair of lungs,lungs
http://purl.obolibrary.org/obo/UBERON_0000170,pair of lungs,lungs pair
http://purl.obolibrary.org/obo/UBERON_0000170,pair of lungs,pulmones
http://purl.obolibrary.org/obo/UBERON_0000170,pair of lungs,set of lungs
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,apparatus respiratorius organ
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,breathing organ
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,gas exchange organ
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,organ of apparatus respiratorius
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,organ of respiratory system
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,respiratory organ
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ,respiratory system organ
http://purl.obolibrary.org/obo/UBERON_0000172,vomit,vomitus
http://purl.obolibrary.org/obo/UBERON_0000173,amniotic fluid,
http://purl.obolibrary.org/obo/UBERON_0000174,excreta,excreted substance
http://purl.obolibrary.org/obo/UBERON_0000174,excreta,portion of excreted substance
http://purl.obolibrary.org/obo/UBERON_0000174,excreta,waste substance
http://purl.obolibrary.org/obo/UBERON_0000175,pleural effusion,
